"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"21959","QB","Brandon","Weeden","4.2","5","5500","DAL@PHI","DAL","PHI","","","",""
"26141","QB","Ryan","Nassib","0.5","4","5500","ATL@NYG","NYG","ATL","","","",""
"14292","TE","Jordan","Cameron","9.3","1","5500","MIA@JAC","MIA","JAC","","","",""
"54608","RB","Jerick","McKinnon","3.8","1","5500","DET@MIN","MIN","DET","","","",""
"25837","RB","Duke","Johnson","2.2","1","5500","TEN@CLE","CLE","TEN","","","",""
"9392","WR","Michael","Crabtree","6.2","1","5500","BAL@OAK","OAK","BAL","","","",""
"28677","QB","Matt","McGloin","10.7","1","5500","BAL@OAK","OAK","BAL","","","",""
"8803","QB","Chase","Daniel","2.6","3","5400","DEN@KC","KC","DEN","","","",""
"6580","TE","Heath","Miller","12.4","1","5400","SF@PIT","PIT","SF","","","",""
"21999","WR","Rueben","Randle","3.8","1","5400","ATL@NYG","NYG","ATL","","","",""
"22848","QB","Austin","Davis","11.7","10","5400","TEN@CLE","CLE","TEN","","","",""
"14194","QB","Blaine","Gabbert","6","1","5400","SF@PIT","SF","PIT","","","",""
"14268","RB","Stevan","Ridley","8.3","6","5400","NYJ@IND","NYJ","IND","NA","Knee","",""
"14305","RB","Roy","Helu","7.6","14","5400","BAL@OAK","OAK","BAL","","","",""
"14317","TE","Julius","Thomas","11","13","5400","MIA@JAC","JAC","MIA","O","Finger","",""
"7222","WR","James","Jones","19.1","1","5400","SEA@GB","GB","SEA","","","",""
"39449","WR","Charles","Johnson","3.7","1","5400","DET@MIN","MIN","DET","","","",""
"6808","QB","Matt","Moore","0.3","2","5400","MIA@JAC","MIA","JAC","","","",""
"22219","WR","Jermaine","Kearse","11.6","1","5400","SEA@GB","SEA","GB","","","",""
"6662","WR","Reggie","Wayne","8","15","5400","NE@BUF","NE","BUF","","","",""
"28088","RB","Denard","Robinson","5.5","1","5400","MIA@JAC","JAC","MIA","","","",""
"6774","WR","Pierre","Garcon","10.4","1","5400","STL@WAS","WAS","STL","","","",""
"21972","WR","Brian","Quick","9.7","7","5300","STL@WAS","STL","WAS","","","",""
"6645","WR","Marques","Colston","4.4","1","5300","TB@NO","NO","TB","","","",""
"6643","RB","Reggie","Bush","0.8","1","5300","SF@PIT","SF","PIT","Q","Calf","",""
"38269","RB","Cameron","Artis-Payne","0","1","5300","HOU@CAR","CAR","HOU","","","",""
"27441","RB","Damien","Williams","0.8","1","5300","MIA@JAC","MIA","JAC","","","",""
"54612","RB","Lorenzo","Taliaferro","5.1","13","5300","BAL@OAK","BAL","OAK","Q","Knee","",""
"30244","RB","Matt","Jones","2.8","1","5300","STL@WAS","WAS","STL","","","",""
"54607","RB","Terrance","West","2.1","1","5300","TEN@CLE","TEN","CLE","","","",""
"11431","TE","Jermaine","Gresham","0.9","1","5300","ARI@CHI","ARI","CHI","","","",""
"11466","QB","Jimmy","Clausen","4.2","4","5300","ARI@CHI","CHI","ARI","","","",""
"25607","RB","Josh","Harris","0.3","5","5300","SF@PIT","PIT","SF","","","",""
"25694","RB","Andre","Williams","1.4","1","5300","ATL@NYG","NYG","ATL","","","",""
"21123","TE","Larry","Donnell","3.6","1","5300","ATL@NYG","NYG","ATL","","","",""
"6679","QB","Matt","Schaub","0.1","11","5300","BAL@OAK","BAL","OAK","","","",""
"22004","TE","Dwayne","Allen","9.2","1","5200","NYJ@IND","IND","NYJ","","","",""
"29645","RB","Javorius","Allen","3.9","1","5200","BAL@OAK","BAL","OAK","","","",""
"6535","WR","Kenny","Britt","4.7","1","5200","STL@WAS","STL","WAS","","","",""
"28249","RB","David","Cobb","0","0","5200","TEN@CLE","TEN","CLE","IR","Calf","",""
"14198","QB","Christian","Ponder","6.7","2","5200","BAL@OAK","OAK","BAL","","","",""
"34295","WR","Breshad","Perriman","0","0","5200","BAL@OAK","BAL","OAK","O","Knee","",""
"14320","RB","Bilal","Powell","8.8","1","5200","NYJ@IND","NYJ","IND","","","",""
"14307","WR","Cecil","Shorts","7.7","1","5200","HOU@CAR","HOU","CAR","","","",""
"33260","WR","DeVante","Parker","0","1","5200","MIA@JAC","MIA","JAC","","","",""
"6488","WR","Dwayne","Bowe","7.1","15","5200","TEN@CLE","CLE","TEN","Q","Hamstring","",""
"27457","WR","Kenny","Stills","1.7","1","5200","MIA@JAC","MIA","JAC","","","",""
"46882","RB","Jay","Ajayi","0","0","5200","MIA@JAC","MIA","JAC","IR","Ribs","",""
"6373","QB","Derek","Anderson","8.4","6","5200","HOU@CAR","CAR","HOU","","","",""
"31073","RB","Knile","Davis","3.3","1","5200","DEN@KC","KC","DEN","","","",""
"8071","QB","Dan","Orlovsky","2.5","1","5200","DET@MIN","DET","MIN","","","",""
"47294","RB","Terrence","Franks","0","0","5200","STL@WAS","STL","WAS","","","",""
"25813","WR","Phillip","Dorsett","3.5","1","5200","NYJ@IND","IND","NYJ","","","",""
"8051","QB","Luke","McCown","0","1","5200","TB@NO","NO","TB","","","",""
"6814","QB","Tarvaris","Jackson","6.1","1","5200","SEA@GB","SEA","GB","","","",""
"7900","K","Stephen","Gostkowski","4","1","5200","NE@BUF","NE","BUF","","","",""
"23045","K","Justin","Tucker","10","1","5200","BAL@OAK","BAL","OAK","","","",""
"7919","QB","Kellen","Clemens","3.4","2","5200","SD@CIN","SD","CIN","","","",""
"28860","RB","Montee","Ball","6.4","5","5200","DEN@KC","DEN","KC","","","",""
"6863","TE","Delanie","Walker","11.8","1","5200","TEN@CLE","TEN","CLE","Q","Hand","",""
"7761","TE","Jared","Cook","11","1","5200","STL@WAS","STL","WAS","","","",""
"7744","QB","Drew","Stanton","10.9","9","5200","ARI@CHI","ARI","CHI","","","",""
"11609","RB","James","Starks","0.2","1","5200","SEA@GB","GB","SEA","","","",""
"14339","RB","Dion","Lewis","14","1","5200","NE@BUF","NE","BUF","","","",""
"29780","TE","Zach","Ertz","6.1","1","5200","DAL@PHI","PHI","DAL","","","",""
"22003","RB","Ronnie","Hillman","4.1","1","5100","DEN@KC","DEN","KC","","","",""
"29685","WR","Robert","Woods","3.7","1","5100","NE@BUF","BUF","NE","","","",""
"44952","RB","Dri","Archer","0","1","5100","SF@PIT","PIT","SF","","","",""
"41807","RB","Michael","Dyer","0","0","5100","BAL@OAK","OAK","BAL","","","",""
"22898","RB","Brandon","Bolden","1.8","1","5100","NE@BUF","NE","BUF","","","",""
"14237","TE","Kyle","Rudolph","7.8","1","5100","DET@MIN","MIN","DET","","","",""
"29500","WR","Markus","Wheaton","9","1","5100","SF@PIT","PIT","SF","","","",""
"39373","WR","Jaelen","Strong","0","0","5100","HOU@CAR","HOU","CAR","","","",""
"25410","QB","Mike","Glennon","15.9","6","5100","TB@NO","TB","NO","","","",""
"31047","QB","AJ","McCarron","0","0","5100","SD@CIN","CIN","SD","","","",""
"14696","QB","Scott","Tolzien","0","0","5100","SEA@GB","GB","SEA","","","",""
"29003","RB","Ka'Deem","Carey","1.7","14","5100","ARI@CHI","CHI","ARI","","","",""
"7952","WR","Malcom","Floyd","3.4","1","5100","SD@CIN","SD","CIN","","","",""
"6844","QB","Shaun","Hill","10.8","9","5100","DET@MIN","MIN","DET","","","",""
"6870","TE","Vernon","Davis","6.2","1","5100","SF@PIT","SF","PIT","","","",""
"6897","K","Mason","Crosby","7","1","5100","SEA@GB","GB","SEA","","","",""
"12539","D","Miami","Dolphins","0","0","5100","MIA@JAC","MIA","JAC","","","",""
"6724","K","Steven","Hauschka","11","1","5100","SEA@GB","SEA","GB","","","",""
"22054","WR","Jarius","Wright","3.2","1","5100","DET@MIN","MIN","DET","","","",""
"14344","QB","T.J.","Yates","1.6","1","5100","ATL@NYG","ATL","NYG","","","",""
"31280","K","Cody","Parkey","6","1","5000","DAL@PHI","PHI","DAL","","","",""
"14952","K","Dan","Bailey","9","1","5000","DAL@PHI","DAL","PHI","","","",""
"30298","TE","Jordan","Reed","15.8","1","5000","STL@WAS","WAS","STL","","","",""
"25760","WR","Allen","Hurns","6.5","1","5000","MIA@JAC","JAC","MIA","","","",""
"11454","RB","Dexter","McCluster","0.8","1","5000","TEN@CLE","TEN","CLE","","","",""
"11436","QB","Tim","Tebow","0","0","5000","DAL@PHI","PHI","DAL","","","",""
"14761","WR","Andre","Holmes","0","1","5000","BAL@OAK","OAK","BAL","","","",""
"12555","D","Baltimore","Ravens","0","0","5000","BAL@OAK","BAL","OAK","","","",""
"39492","TE","Josh","Hill","0","1","5000","TB@NO","NO","TB","","","",""
"28930","RB","James","White","0","1","5000","NE@BUF","NE","BUF","","","",""
"22165","RB","Bryce","Brown","5.2","7","5000","NE@BUF","BUF","NE","","","",""
"10647","K","Matt","Bryant","17","1","5000","ATL@NYG","ATL","NYG","","","",""
"26094","WR","Brandon","Coleman","12.1","1","5000","TB@NO","NO","TB","","","",""
"6682","TE","Owen","Daniels","1.5","1","5000","DEN@KC","DEN","KC","","","",""
"6668","K","Adam","Vinatieri","0","1","5000","NYJ@IND","IND","NYJ","","","",""
"11562","TE","Andrew","Quarless","0","1","5000","SEA@GB","GB","SEA","","","",""
"6688","WR","Jerricho","Cotchery","12.5","1","5000","HOU@CAR","CAR","HOU","","","",""
"6702","K","Phil","Dawson","8","1","5000","SF@PIT","SF","PIT","","","",""
"22128","QB","Ryan","Lindley","9.1","3","5000","NE@BUF","NE","BUF","","","",""
"22018","WR","Mohamed","Sanu","4.4","1","5000","SD@CIN","CIN","SD","","","",""
"22035","WR","Travis","Benjamin","16.4","1","5000","TEN@CLE","CLE","TEN","","","",""
"27050","WR","Tyler","Lockett","11.4","1","5000","SEA@GB","SEA","GB","","","",""
"21984","RB","Isaiah","Pead","-1.7","1","4900","STL@WAS","STL","WAS","","","",""
"21971","TE","Coby","Fleener","3","1","4900","NYJ@IND","IND","NYJ","","","",""
"26247","K","Brandon","McManus","18","1","4900","DEN@KC","DEN","KC","","","",""
"6610","WR","Nate","Washington","13.5","1","4900","HOU@CAR","HOU","CAR","","","",""
"34288","WR","Rannell","Hall","0","0","4900","TB@NO","TB","NO","","","",""
"34275","RB","Storm","Johnson","3.5","6","4900","MIA@JAC","JAC","MIA","","","",""
"37245","RB","Foswhitt","Whittaker","1.5","1","4900","HOU@CAR","CAR","HOU","","","",""
"32354","WR","Malcome","Kennedy","0","0","4900","TB@NO","NO","TB","","","",""
"47953","WR","Lucky","Whitehead","0","1","4900","DAL@PHI","DAL","PHI","","","",""
