"","Player","Points","Cost","Position"
"346","Jacob Tamme (ATL - TE)",5.2,4900,"TE"
"347","Coby Fleener (IND - TE)",5.1,4900,"TE"
"348","Owen Daniels (DEN - TE)",5,4700,"TE"
"349","Marcedes Lewis (JAC - TE)",5,4700,"TE"
"350","Gavin Escobar (DAL - TE)",4.6,4500,"TE"
"351","Scott Chandler (NE - TE)",4.3,4900,"TE"
"352","Gary Barnidge (CLE - TE)",4.1,4500,"TE"
"353","Jim Dray (CLE - TE)",4.1,4500,"TE"
"354","Benjamin Watson (NO - TE)",4.1,4500,"TE"
"355","Brandon Myers (TB - TE)",3.8,4500,"TE"
"356","Virgil Green (DEN - TE)",3.6,4700,"TE"
"357","Anthony Fasano (TEN - TE)",3.5,5000,"TE"
"358","Darren Fells (ARI - TE)",3.5,4900,"TE"
"359","Mychal Rivera (OAK - TE)",3.2,4900,"TE"
"360","Dion Sims (MIA - TE) Q",3.2,4600,"TE"
"361","Garrett Graham (HOU - TE)",3.1,4600,"TE"
"362","John Phillips (SD - TE)",3.1,4500,"TE"
"363","Josh Hill (NO - TE)",3.1,4900,"TE"
"364","Lance Kendricks (STL - TE)",2.9,4600,"TE"
"365","Jeff Cumberland (NYJ - TE)",2.8,4700,"TE"
"366","Jermaine Gresham (ARI - TE)",2.8,5300,"TE"
"367","Rob Housler (CLE - TE)",2.8,4500,"TE"
"368","Brent Celek (PHI - TE)",2.8,4500,"TE"
"369","Clive Walford (OAK - TE)",2.7,4500,"TE"
"370","Maxx Williams (BAL - TE)",2.6,4500,"TE"
"371","Luke Willson (SEA - TE)",2.6,4500,"TE"
"372","Tim Wright (DET - TE)",2.3,4500,"TE"
"373","Garrett Celek (SF - TE)",2.3,4500,"TE"
"374","James O'Shaughnessy (KC - TE)",2.2,4500,"TE"
"375","Daniel Fells (NYG - TE) P",2.1,4500,"TE"
"376","Chase Coffman (TEN - TE)",2,4500,"TE"
"377","Vance McDonald (SF - TE) Q",2,4500,"TE"
"378","Levine Toilolo (ATL - TE)",1.9,4500,"TE"
"379","C.J. Fiedorowicz (HOU - TE) Q",1.9,4500,"TE"
"380","Rhett Ellison (MIN - TE)",1.9,4500,"TE"
"381","Ed Dickson (CAR - TE)",1.7,4500,"TE"
"382","Kellen Davis (NYJ - TE)",1.6,4500,"TE"
"383","Derek Carrier (WAS - TE)",1.6,4500,"TE"
"384","Clay Harbor (JAC - TE)",1.6,4500,"TE"
"385","Luke Stocker (TB - TE)",1.4,4500,"TE"
"386","Matt Spaeth (PIT - TE)",1.3,4500,"TE"
"387","Blake Bell (SF - TE) P",1.2,4500,"TE"
"388","Andrew Quarless (GB - TE)",1.2,4800,"TE"
"389","Adrien Robinson (NYG - TE)",1.2,4500,"TE"
"390","David Johnson (SD - TE)",0.8,4500,"TE"
"391","Craig Stevens (TEN - TE)",0.6,4500,"TE"
"392","Troy Niklas (ARI - TE)",0.4,4500,"TE"
"393","Michael Hoomanawanui (NE - TE)",0.4,4600,"TE"
"394","Tyler Kroft (CIN - TE)",0.4,4500,"TE"
"395","Jack Doyle (IND - TE)",0.3,4500,"TE"
"396","MarQueis Gray (BUF - TE)",0.3,4500,"TE"
"397","James Casey (DEN - TE)",0.3,4500,"TE"
"398","MyCole Pruitt (MIN - TE)",0.3,4500,"TE"
"399","Nick Boyle (BAL - TE)",0.3,4500,"TE"
"400","Cooper Helfet (SEA - TE)",0.3,4500,"TE"
"401","Stephen Gostkowski (NE - K)",9.3,5000,"K"
"402","Steven Hauschka (SEA - K)",8.8,5000,"K"
"403","Matt Bryant (ATL - K)",8.8,4800,"K"
"404","Justin Tucker (BAL - K)",8.8,5000,"K"
"405","Mason Crosby (GB - K)",8.7,5000,"K"
"406","Dan Bailey (DAL - K)",8.3,5000,"K"
"407","Brandon McManus (DEN - K)",8.2,4900,"K"
"408","Adam Vinatieri (IND - K)",8.1,4900,"K"
"409","Josh Brown (NYG - K)",8,4500,"K"
"410","Matt Prater (DET - K)",7.9,4700,"K"
"411","Blair Walsh (MIN - K)",7.5,4700,"K"
"412","Chandler Catanzaro (ARI - K)",7.4,4700,"K"
"413","Cody Parkey (PHI - K)",7.4,4700,"K"
"414","Josh Scobee (PIT - K)",7.3,4600,"K"
"415","Dan Carpenter (BUF - K) P",7.3,4700,"K"
"416","Josh Lambo (SD - K)",7.3,4500,"K"
"417","Nick Folk (NYJ - K)",6.7,4600,"K"
"418","Graham Gano (CAR - K)",6.7,4700,"K"
"419","Robbie Gould (CHI - K)",6.7,4800,"K"
"420","Greg Zuerlein (STL - K)",6.7,4800,"K"
"421","Phil Dawson (SF - K)",6.6,4600,"K"
"422","Mike Nugent (CIN - K)",6.6,4800,"K"
"423","Zach Hocker (NO - K)",6.5,4500,"K"
"424","Randy Bullock (HOU - K)",6.5,4800,"K"
"425","Sebastian Janikowski (OAK - K)",6.5,4700,"K"
"426","Cairo Santos (KC - K)",6.5,4600,"K"
"427","Ryan Succop (TEN - K)",6.2,4600,"K"
"428","Travis Coons (CLE - K)",5.3,4500,"K"
"429","Jason Myers (JAC - K)",3.4,4500,"K"
"430","Seattle Seahawks (SEA - DST)",14.6,5300,"D"
"431","Houston Texans (HOU - DST)",14.6,5000,"D"
"432","Denver Broncos (DEN - DST)",14.3,4600,"D"
"433","Arizona Cardinals (ARI - DST)",14.2,4700,"D"
"434","New England Patriots (NE - DST)",14.2,4700,"D"
"435","Miami Dolphins (MIA - DST)",14.1,4600,"D"
"436","Buffalo Bills (BUF - DST)",14.1,4500,"D"
"437","Carolina Panthers (CAR - DST)",14,4600,"D"
"438","Cincinnati Bengals (CIN - DST)",14,4600,"D"
"439","New York Jets (NYJ - DST)",14,4500,"D"
"440","Baltimore Ravens (BAL - DST)",13.9,4600,"D"
"441","Cleveland Browns (CLE - DST)",13.7,4600,"D"
"442","Green Bay Packers (GB - DST)",13.6,4600,"D"
"443","St. Louis Rams (STL - DST)",13.6,4500,"D"
"444","Minnesota Vikings (MIN - DST)",13.6,4400,"D"
"445","Indianapolis Colts (IND - DST)",13.5,4500,"D"
"446","Washington Redskins (WAS - DST)",13.3,4100,"D"
"447","Pittsburgh Steelers (PIT - DST)",13.2,4400,"D"
"448","Philadelphia Eagles (PHI - DST)",13,4400,"D"
